year,sex_age,sex,rate_per_100k,se,lci,uci,estimate_type,source
2018,Female: 10-14 years,Female,2.0,0.1,1.7,2.3,"Deaths per 100,000 resident population, crude",Socrata
2019,Female: 10-14 years,Female,2.0,0.1,1.7,2.3,"Deaths per 100,000 resident population, crude",Socrata
2020,Female: 10-14 years,Female,2.0,0.1,1.7,2.3,"Deaths per 100,000 resident population, crude",Socrata
2021,Female: 10-14 years,Female,2.3,0.1,2.0,2.6,"Deaths per 100,000 resident population, crude",Socrata
2022,Female: 10-14 years,Female,1.9,0.1,1.6,2.1,"Deaths per 100,000 resident population, crude",Socrata
2023,Female: 10-14 years,Female,2.1,0.1,1.8,2.4,"Deaths per 100,000 resident population, crude",Socrata
2024,Female: 10-14 years,Female,2.3,0.1,2.0,2.6,"Deaths per 100,000 resident population, crude",Socrata
2018,Female: 15-19 years,Female,5.2,0.2,4.8,5.7,"Deaths per 100,000 resident population, crude",Socrata
2019,Female: 15-19 years,Female,5.0,0.2,4.5,5.4,"Deaths per 100,000 resident population, crude",Socrata
2020,Female: 15-19 years,Female,5.1,0.2,4.7,5.6,"Deaths per 100,000 resident population, crude",Socrata
2021,Female: 15-19 years,Female,5.3,0.2,4.9,5.8,"Deaths per 100,000 resident population, crude",Socrata
2022,Female: 15-19 years,Female,4.9,0.2,4.5,5.4,"Deaths per 100,000 resident population, crude",Socrata
2023,Female: 15-19 years,Female,4.7,0.2,4.3,5.2,"Deaths per 100,000 resident population, crude",Socrata
2024,Female: 15-19 years,Female,5.4,0.2,4.9,5.8,"Deaths per 100,000 resident population, crude",Socrata
2018,Male: 10-14 years,Male,3.7,0.2,3.3,4.0,"Deaths per 100,000 resident population, crude",Socrata
2019,Male: 10-14 years,Male,3.1,0.2,2.8,3.5,"Deaths per 100,000 resident population, crude",Socrata
2020,Male: 10-14 years,Male,3.6,0.2,3.2,3.9,"Deaths per 100,000 resident population, crude",Socrata
2021,Male: 10-14 years,Male,3.2,0.2,2.9,3.6,"Deaths per 100,000 resident population, crude",Socrata
2022,Male: 10-14 years,Male,2.8,0.2,2.5,3.2,"Deaths per 100,000 resident population, crude",Socrata
2023,Male: 10-14 years,Male,2.5,0.2,2.2,2.8,"Deaths per 100,000 resident population, crude",Socrata
2024,Male: 10-14 years,Male,2.4,0.1,2.1,2.7,"Deaths per 100,000 resident population, crude",Socrata
2018,Male: 15-19 years,Male,17.3,0.4,16.5,18.1,"Deaths per 100,000 resident population, crude",Socrata
2019,Male: 15-19 years,Male,15.8,0.4,15.1,16.6,"Deaths per 100,000 resident population, crude",Socrata
2020,Male: 15-19 years,Male,15.8,0.4,15.0,16.6,"Deaths per 100,000 resident population, crude",Socrata
2021,Male: 15-19 years,Male,16.1,0.4,15.4,16.9,"Deaths per 100,000 resident population, crude",Socrata
2022,Male: 15-19 years,Male,14.8,0.4,14.1,15.6,"Deaths per 100,000 resident population, crude",Socrata
2023,Male: 15-19 years,Male,14.6,0.4,13.9,15.3,"Deaths per 100,000 resident population, crude",Socrata
2024,Male: 15-19 years,Male,13.3,0.3,12.6,14.0,"Deaths per 100,000 resident population, crude",Socrata
2010,Female: 10-14 years,Female,0.9,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2010,Female: 15-19 years,Female,3.1,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2010,Male: 10-14 years,Male,1.7,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2010,Male: 15-19 years,Male,11.7,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2016,Female: 10-14 years,Female,1.7,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2016,Female: 15-19 years,Female,5.0,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2016,Male: 10-14 years,Male,2.5,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2016,Male: 15-19 years,Male,14.8,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2017,Female: 10-14 years,Female,1.7,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2017,Female: 15-19 years,Female,5.4,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2017,Male: 10-14 years,Male,3.3,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
2017,Male: 15-19 years,Male,17.9,,,,"Deaths per 100,000 (HUS 2018 Table 9)",HUS2018
